Asset Name,Industry,Service/Solution,Year Published,Audience,Asset Summary,Type,Format,Page Count,Marketing or Sales,Customer Journey,Inventory Recommendations,DAM Link,Audit Notes
High-performance power from anywhere.,Industry agnostic,HP Z,2025,ITDM,"Explains how HP Z Remote Access Solution with HP Anyware and racked HP Z workstations gives power users secured, high-performance remote access to data, apps, and AI workloads from any device, overcoming VDI and cloud limits while simplifying IT management, security, and remote collaboration.",Guide,Product,9,Marketing,Consideration,Leverage,https://assetmanager.hp.com/dam/assetdetails/asset:cc875bb2-fdf1-4be6-96b2-b7e382dda887,Strong guide for ITDMs evaluating secure remote access for power users. Leverage as-is for RAD. Consider atomizing into: (1) a short explainer video (30–60 sec) or (2) an infographic on the architecture and benefits.
Maximize productivity with AI workstation laptops.,Industry agnostic,HP Z,2025,ITDM,"Product-focused overview of HP ZBook mobile workstations with Intel Core Ultra processors, showing how AI-ready laptops deliver pro-grade performance, long battery life, secure hybrid work, and rich collaboration features for engineers, creatives and data teams needing workstation-class power anywhere.",Brochure,Product,6,Marketing,Consideration,Leverage,https://assetmanager.hp.com/dam/assetdetails/asset:c67464b4-aa5f-4bd8-9d39-a80c58e0e5a4/false?inav=false,"On-brand, AI-forward asset suited for RAD outreach to ITDMs and BDMs. Leverage as-is and consider atomizing into: (1) a blog/article on “AI workstation laptops for hybrid teams,” (2) a simple benefits-focused infographic, and (3) a short explainer video for use in social posts."
What is an AI workstation?,Industry agnostic,HP Z,2025,ITDM,"Explainer for IT leaders on why power users need AI workstations instead of standard laptops or pure cloud. Defines AI workstations, contrasts mobile vs desktop options, and highlights hybrid-work flexibility, upgradeable performance, ISV certification, AI-optimized processors, and hardware-enforced security to protect sensitive IP while scaling AI workloads.",Guide,Prescriptive,6,Marketing,Awareness,Leverage,https://discover.hp.com/ib-content-hub/items/what-is-an-ai-workstation,"Recent, on-brand explainer giving ITDMs a clear definition of AI workstations and guidance on performance, AI readiness, and security. Leverage as-is for awareness. Also good source for a blog/article or an atomized infographic."
The essential AI checklist: Future-proof your workforce in six simple steps,Industry agnostic,HP Future of Work,2025,ITDM,"One-page checklist that walks IT leaders through six steps to prepare their workforce for AI, from assessing the device fleet and support model to understanding personas, skills gaps, and high-performance needs, while highlighting the role of NPU-equipped Intel® Core™ Ultra-based HP AI PCs, security, and services.",Infographic,Product,1,Marketing,Awareness,Leverage,https://assetmanager.hp.com/dam/assetdetails/asset:d6a4d654-8a82-4e71-83a2-078e916f6538,"Clear, on-brand awareness asset that frames AI PC decisions around workforce readiness and IT support. Leverage as-is for RAD. Consider atomizing into prescriptuive a blog expanding the six steps or multiple short animation to be leveraged for social media posts."
Creating a sense of belonging at work,Industry agnostic,HP Future of Work,2025,BDM,"Article based on the HP Work Relationship Index outlining why belonging and connection drive productivity, innovation, and resilience. Explores foundations of a connected workplace, best practices for inclusive culture and employee resource groups, and how AI and collaboration technology can support more human-centered hybrid work.",Guide,Thought leadership,4,Marketing,Awareness,Upcycle,https://h20195.www2.hp.com/v2/GetPDF.aspx/4AA8-4777ENW.pdf,"Timely, on-brand thought leadership for BDMs on belonging, hybrid work, and AI. Opportunity to atomize into a blog summary or an infographic using WRI stats that links culture, AI tools, and HP hybrid work solutions. Since this asset is based on the 2024 findings of the WRI report, there is an opportunity to upcycle as per the latest findings of the WRI Report in 2025."
Workplace boundaries,Industry agnostic,HP Future of Work,2025,BDM,"Explores why workplace boundaries are critical in hybrid work models, using WRI data to show declining worker well-being and rising demand for personalization. Outlines cultural, policy, and technology strategies (such as right-to-disconnect trends and smarter collaboration tools) to support healthier, more productive work environments.",Guide,Thought leadership,4,Marketing,Awareness,Upcycle,https://h20195.www2.hp.com/v2/GetPDF.aspx/4AA8-4775ENW.pdf,"Strong WRI-backed POV for BDMs on culture, policy, and tech shifts needed for sustainable hybrid work. Atomize into a blog summarizing key stats or an infographic / one pager on boundary practices. Since this asset is based on the 2024 findings of the WRI report, there is an opportunity to upcycle as per the latest findings of the WRI Report in 2025."
Making the most of your workplace,Industry agnostic,HP Future of Work,2025,BDM,"Thought leadership piece showing how human-centered workplace design boosts wellbeing, focus, emotional health, and productivity. Uses WRI data to highlight worker preferences for distraction-free spaces and flexible, personalized environments, and outlines physical, mental, emotional, and personal-fulfillment dimensions of effective workplace design.",Guide,Thought leadership,4,Marketing,Awareness,Upcycle,https://h20195.www2.hp.com/v2/GetPDF.aspx/4AA8-4776ENW.pdf,"Solid, on-brand WRI-based POV for BDMs on workplace design and wellbeing. Atomize into a blog summarizing the four wellbeing dimensions and/or an infographic/one pager using WRI stats. Since this asset is based on the 2024 findings of the WRI report, there is an opportunity to upcycle as per the latest findings of the WRI Report in 2025."
Mastering IT in an era of transformation,Industry agnostic,HP Future of Work,2025,ITDM,"An ebook for IT leaders navigating economic pressure, hybrid work, cloud complexity, and rising security risks. Covers how AI PCs, predictive analytics, cloud ecosystems, and Zero-Trust security enable modernization, streamline operations, reduce friction, and strengthen resilience amid constant transformation.",Ebook,Thought leadership,13,Marketing,Awareness,Leverage,https://assetmanager.hp.com/dam/assetdetails/asset:89982465-b2b8-4edb-b34b-6bb9ef717c16,"Strong mid-funnel ITDM asset on AI modernization, cloud strategy, and security resilience. Leverage as-is for RAD, and consider aromizing into a derivative an infographic on key challenges/opportunities."
Transforming IT for the future of work,Industry agnostic,HP Future of Work,2025,ITDM,"An ebook detailing how hybrid and work-from-anywhere models strain IT with unpredictable needs, risks, and processes. Highlights how managed services, cloud-based analytics, automated ticketing, AI-driven security, and multi-layer endpoint protection help IT scale support, reduce burnout, and maintain resilience across distributed environments.",Ebook,Thought leadership,7,Marketing,Awareness,Leverage,https://assetmanager.hp.com/dam/assetdetails/asset:89982465-b2b8-4edb-b34b-6bb9ef717c16,"Strong, concise ITDM asset on WFA challenges, managed services, device security, and automation. Leverage for RAD. Consider atomizing into an infographic summarizing IT pain points and HP services."
IT's moment to lead the future of work.,Industry agnostic,HP Future of Work,2025,ITDM,"HP Next Gen AI PC focused infographic showing how outdated tools hinder innovation and how HP AI PCs help IT lead transformation. Highlights AI-driven productivity gains, analytics, collaboration tools, Zero-Trust security, and workforce experience insights that enable IT to shift from support to strategic growth leadership.",Infographic,Product,1,Marketing,Consideration,Leverage,https://assetmanager.hp.com/assets/share/asset/maku6utqpt,"Strong, high-level ITDM awareness asset linking AI PCs to modern productivity, collaboration, and security. Leverage as-is for RAD."
